index,Season,ID,overs,BattingTeam,total_run,isWicketDelivery
518,2012,548334,5,Kings XI Punjab,6,0
519,2012,548334,5,Mumbai Indians,11,0
520,2012,548334,6,Kings XI Punjab,4,1
521,2012,548334,6,Mumbai Indians,3,0
522,2012,548334,7,Kings XI Punjab,7,0
523,2012,548334,7,Mumbai Indians,8,0
524,2012,548334,8,Kings XI Punjab,2,1
525,2012,548334,8,Mumbai Indians,6,1
526,2012,548334,9,Kings XI Punjab,14,0
527,2012,548334,9,Mumbai Indians,2,1
528,2012,548334,10,Kings XI Punjab,5,0
529,2012,548334,10,Mumbai Indians,7,0
530,2012,548334,11,Kings XI Punjab,6,0
531,2012,548334,11,Mumbai Indians,19,0
532,2012,548334,12,Kings XI Punjab,10,0
533,2012,548334,12,Mumbai Indians,12,0
534,2012,548334,13,Kings XI Punjab,7,0
535,2012,548334,13,Mumbai Indians,12,0
536,2012,548334,14,Kings XI Punjab,16,0
537,2012,548334,14,Mumbai Indians,21,0
538,2012,548334,15,Kings XI Punjab,1,1
539,2012,548334,15,Mumbai Indians,3,1
540,2012,548334,16,Kings XI Punjab,10,0
541,2012,548334,16,Mumbai Indians,8,0
542,2012,548334,17,Kings XI Punjab,14,1
543,2012,548334,17,Mumbai Indians,6,1
544,2012,548334,18,Kings XI Punjab,11,0
545,2012,548334,18,Mumbai Indians,8,2
546,2012,548334,19,Kings XI Punjab,9,0
547,2012,548334,19,Mumbai Indians,9,0
548,2012,548335,0,Deccan Chargers,6,0
549,2012,548335,0,Kolkata Knight Riders,5,0
550,2012,548335,1,Deccan Chargers,2,0
551,2012,548335,1,Kolkata Knight Riders,4,0
552,2012,548335,2,Deccan Chargers,13,0
553,2012,548335,2,Kolkata Knight Riders,8,1
554,2012,548335,3,Deccan Chargers,9,0
555,2012,548335,3,Kolkata Knight Riders,9,0
556,2012,548335,4,Deccan Chargers,5,0
557,2012,548335,4,Kolkata Knight Riders,6,0
558,2012,548335,5,Deccan Chargers,4,1
559,2012,548335,5,Kolkata Knight Riders,10,0
560,2012,548335,6,Deccan Chargers,9,0
561,2012,548335,6,Kolkata Knight Riders,2,1
562,2012,548335,7,Deccan Chargers,5,0
563,2012,548335,7,Kolkata Knight Riders,8,0
564,2012,548335,8,Deccan Chargers,8,0
565,2012,548335,8,Kolkata Knight Riders,6,0
566,2012,548335,9,Deccan Chargers,6,0
567,2012,548335,9,Kolkata Knight Riders,7,1
568,2012,548335,10,Deccan Chargers,9,0
569,2012,548335,10,Kolkata Knight Riders,8,1
570,2012,548335,11,Deccan Chargers,8,1
571,2012,548335,11,Kolkata Knight Riders,5,0
572,2012,548335,12,Deccan Chargers,3,0
573,2012,548335,12,Kolkata Knight Riders,3,0
574,2012,548335,13,Deccan Chargers,8,0
